date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2022-05-09,aavas financiers limited,AAVAS,Monarch Networth Capital Limited,Finance,-7.507767902305076,-0.0033177294005363,2022
2022-10-27,aavas financiers limited,AAVAS,Monarch Networth Capital Limited,Finance,4.55449584332126,-0.0607447263218767,2022
2022-02-06,aavas financiers limited,AAVAS,Motilal Oswal,Finance,-9.506812126087178,-0.0278451178451177,2022
2022-05-07,aavas financiers limited,AAVAS,Motilal Oswal,Finance,-9.10536960029086,-0.0433650544943431,2022
2022-10-23,aavas financiers limited,AAVAS,Motilal Oswal,Finance,-7.703230386936462,-0.0111759716609289,2022
2023-02-04,aavas financiers limited,AAVAS,Motilal Oswal,Finance,1.068221049208211,0.0123333249943711,2023
2023-05-05,aavas financiers limited,AAVAS,Motilal Oswal,Finance,6.382978723404252,0.0057123193392979,2023
2023-05-25,aavas financiers limited,AAVAS,Motilal Oswal,Finance,8.993766696349065,-0.0163719943422914,2023
2023-10-29,aavas financiers limited,AAVAS,Motilal Oswal,Finance,9.865253497915798,0.0071276814474676,2023
2024-04-26,aavas financiers limited,AAVAS,Motilal Oswal,Finance,8.692276637371513,-0.0372626850056924,2024
2024-07-26,aavas financiers limited,AAVAS,Motilal Oswal,Finance,3.0367211425627496,-0.0324797881630469,2024
2022-05-08,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,4.528824959665513,-0.0033177294005363,2022
2022-07-31,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,-3.994657093960004,-0.0954469507101086,2022
2022-10-22,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,14.10314924691921,-0.0074241604798663,2022
2023-02-05,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,10.074300152603003,0.0126381909547739,2023
2023-05-05,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,8.468919482686687,0.0057123193392979,2023
2024-04-26,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,6.828980466445145,-0.0372626850056924,2024
2024-07-26,aavas financiers limited,AAVAS,Prabhudas Lilladhar,Finance,5.443707119559102,-0.0324797881630469,2024
2016-10-10,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,14.827041768336436,-0.039516818700114,2016
2019-11-07,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,14.076399790685503,0.1095761381475667,2019
2019-11-19,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,8.813928182807395,-0.1586585257941774,2019
2020-03-18,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,11.814707056877168,0.0626513317191283,2020
2020-05-15,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,-10.230445016147575,0.0052767547958006,2020
2020-08-21,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,15.540150202195274,-0.01883429672447,2020
2020-10-28,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,15.694436935719304,-0.1126775956284153,2020
2021-02-01,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,15.485564304461944,0.0356222290957831,2021
2021-05-03,accelya solutions india limited,ACCELYA,ICICI Securities Limited,Technology,18.75693673695893,-0.0192137320044297,2021
2016-01-13,accelya solutions india limited,ACCELYA,Karvy,Technology,17.528292864353652,-0.1138535031847133,2016
2017-02-17,action construction equipment limited,ACE,Axis Direct,Manufacturing,56.27906976744186,-0.0065055762081783,2017
2022-05-30,action construction equipment limited,ACE,Emkay,Manufacturing,10.905730129390015,0.0941624365482234,2022
2022-07-01,action construction equipment limited,ACE,Hem Securities,Manufacturing,19.904076738609117,0.0608301526717557,2022
