### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
356   Telecommunications                     Phillip Capital         -0.015250      1 2016-01-01
357              Unknown                 Chola Wealth Direct          0.002351      1 2016-01-01
358              Unknown                     Phillip Capital          0.012483      1 2016-01-01
359          Agriculture                 Chola Wealth Direct         -0.012666      1 2016-02-01
360       Consumer Goods                       Angel Broking         -0.044454      1 2016-02-01
361       Consumer Goods            BOB Capital Markets Ltd.         -0.002888      2 2016-02-01
362       Consumer Goods                 Chola Wealth Direct         -0.022529      1 2016-02-01
363       Consumer Goods                     HDFC Securities          0.041929      1 2016-02-01
364       Consumer Goods            ICICI Securities Limited         -0.011000      4 2016-02-01
365       Consumer Goods                               Karvy         -0.009856      1 2016-02-01
366       Consumer Goods                     Phillip Capital          0.013737      5 2016-02-01
367               Energy                     HDFC Securities         -0.007667      3 2016-02-01
368               Energy            ICICI Securities Limited         -0.027691      5 2016-02-01
369               Energy                     Phillip Capital         -0.008328      4 2016-02-01
370               Energy                 Reliance Securities         -0.014599      1 2016-02-01
371              Finance                       Angel Broking         -0.007891      5 2016-02-01
372              Finance                 Chola Wealth Direct         -0.013943      8 2016-02-01
373              Finance                     HDFC Securities          0.001276     17 2016-02-01
374              Finance            ICICI Securities Limited         -0.001023     18 2016-02-01
375              Finance                               Karvy         -0.014853      3 2016-02-01
376              Finance                     Phillip Capital         -0.013740     13 2016-02-01
377              Finance                 Reliance Securities         -0.003759      8 2016-02-01
378           Healthcare                       Angel Broking          0.006866      2 2016-02-01
379           Healthcare                 Chola Wealth Direct          0.004460      3 2016-02-01
380           Healthcare                     HDFC Securities         -0.013044      9 2016-02-01
381           Healthcare            ICICI Securities Limited          0.002754      9 2016-02-01
382           Healthcare                               Karvy         -0.020145      2 2016-02-01
383           Healthcare                     Phillip Capital          0.012880     15 2016-02-01
384           Healthcare                 Reliance Securities          0.063579      2 2016-02-01
385        Manufacturing                        Ajcon Global          0.046255      1 2016-02-01
386        Manufacturing                       Angel Broking         -0.021888      4 2016-02-01
387        Manufacturing                 Chola Wealth Direct         -0.018751     11 2016-02-01
388        Manufacturing                     HDFC Securities          0.003854     14 2016-02-01
389        Manufacturing            ICICI Securities Limited         -0.006515     20 2016-02-01
390        Manufacturing                               Karvy         -0.015569      4 2016-02-01
391        Manufacturing                     Phillip Capital         -0.003248     13 2016-02-01
392        Manufacturing                 Reliance Securities         -0.014895     12 2016-02-01
393          Real Estate                 Chola Wealth Direct          0.019259      1 2016-02-01
394           Technology            BOB Capital Markets Ltd.         -0.008627      1 2016-02-01
395           Technology                 Chola Wealth Direct          0.008001      5 2016-02-01
396           Technology                     HDFC Securities          0.024547     10 2016-02-01
397           Technology            ICICI Securities Limited         -0.017264      9 2016-02-01
398           Technology                               Karvy         -0.009623      2 2016-02-01
399           Technology                     Phillip Capital          0.011250      7 2016-02-01
400           Technology                 Reliance Securities          0.021204      3 2016-02-01
401   Telecommunications                     HDFC Securities          0.001777      1 2016-02-01
402   Telecommunications                               Karvy         -0.001777      1 2016-02-01
403   Telecommunications                     Phillip Capital         -0.019691      1 2016-02-01
404       Transportation                     Phillip Capital         -0.052610      1 2016-02-01
405              Unknown                     HDFC Securities         -0.024244      4 2016-02-01
406              Unknown            ICICI Securities Limited         -0.021951      1 2016-02-01
407              Unknown                     Phillip Capital         -0.024670      4 2016-02-01
408            Utilities                 Chola Wealth Direct         -0.004137      1 2016-02-01
409            Utilities                     HDFC Securities         -0.001851      1 2016-02-01
410            Utilities                     Phillip Capital         -0.002994      2 2016-02-01
411       Consumer Goods            BOB Capital Markets Ltd.         -0.009050      1 2016-03-01
412       Consumer Goods                     HDFC Securities          0.006598      1 2016-03-01
413       Consumer Goods            ICICI Securities Limited         -0.007951      1 2016-03-01
414       Consumer Goods                     Phillip Capital         -0.000329      1 2016-03-01
415               Energy                               Karvy          0.016439      1 2016-03-01
416               Energy                     Phillip Capital          0.007071      3 2016-03-01
417              Finance                     HDFC Securities          0.007842      6 2016-03-01
418              Finance            ICICI Securities Limited          0.030029      2 2016-03-01
419              Finance                               Karvy         -0.007893      3 2016-03-01
420              Finance                       Motilal Oswal          0.009183      7 2016-03-01
421              Finance                     Phillip Capital          0.005552      5 2016-03-01
422           Healthcare            BOB Capital Markets Ltd.          0.003933      1 2016-03-01
423           Healthcare                     HDFC Securities         -0.007487      1 2016-03-01
424           Healthcare                               Karvy          0.002832      1 2016-03-01
425        Manufacturing                     HDFC Securities          0.005167      1 2016-03-01
426        Manufacturing            ICICI Securities Limited          0.016169      1 2016-03-01
427        Manufacturing                       Motilal Oswal          0.008515      2 2016-03-01
428        Manufacturing                     Phillip Capital         -0.006468      2 2016-03-01
429        Manufacturing                 Reliance Securities          0.001669      1 2016-03-01
430           Technology                     HDFC Securities         -0.018151      1 2016-03-01
